job_title,industry,ai_exposed,disruption_score,anthropic_theoretical,anthropic_observed,our_ai_pct,ai_tools_pct,bls_projected_growth,degree_dropping_pct,startup_prevalence_pct,anthro_gap,n_postings
Full Stack Developer,Technology,True,77.3,94.3,33.0,81.4,28.7,-5.0,74.1,22.6,48.4,784
Software Engineer,Technology,True,74.8,94.3,33.0,84.5,25.2,-5.0,60.1,14.1,51.5,1139
Financial Analyst,Finance,True,69.6,94.3,27.5,56.5,13.1,-4.2,61.8,8.2,29.0,487
Investment Banking Analyst,Finance,True,67.2,94.3,27.5,46.2,9.2,-3.1,60.9,9.2,18.7,184
Data Scientist,Technology,True,67.1,94.3,33.0,96.2,35.3,8.5,71.9,9.4,63.2,1144
AI Research Scientist,Technology,True,66.0,96.8,42.3,99.8,36.4,22.0,72.6,14.2,57.5,1138
Machine Learning Engineer,Technology,True,66.0,96.1,38.5,98.3,26.4,9.2,62.2,8.9,59.8,1138
UX Designer,Technology,True,64.2,82.1,19.6,72.0,27.4,3.5,76.1,19.2,52.4,464
Fintech Product Manager,Finance,True,64.0,90.3,26.7,73.3,18.4,8.5,79.3,18.2,46.6,707
Credit Analyst,Finance,True,63.3,90.8,23.4,36.4,8.7,-2.0,62.3,5.4,13.0,332
DevOps Engineer,Technology,True,63.3,90.5,31.2,93.8,20.6,14.0,75.4,16.9,62.6,325
Quantitative Analyst,Finance,True,62.4,96.5,35.2,58.1,13.4,7.0,66.2,7.8,22.9,905
Product Manager,Technology,True,61.4,87.4,24.8,71.2,18.5,6.0,63.4,11.0,46.4,1138
Portfolio Manager,Finance,True,59.5,93.4,29.1,34.8,6.8,3.0,57.9,5.9,5.7,221
Cybersecurity Analyst,Technology,True,59.2,88.7,28.4,78.3,16.5,32.0,73.8,9.0,49.9,267
Cloud Architect,Technology,True,59.1,91.2,30.6,87.1,25.1,14.0,58.7,7.9,56.5,419
Compliance Officer,Finance,True,58.1,89.6,21.3,36.5,4.3,5.0,67.8,6.1,15.2,115
Risk Manager,Finance,True,57.3,92.1,24.8,48.4,8.5,8.0,60.6,5.4,23.6,411
Medical Data Analyst,Healthcare,False,55.8,89.4,22.5,42.5,11.3,9.2,67.6,8.7,20.0,1036
Actuary,Finance,True,53.8,95.2,31.8,46.6,12.6,22.0,55.3,3.9,14.8,103
Physician,Healthcare,False,52.5,72.1,9.8,5.0,0.2,4.0,99.2,11.9,-4.8,959
Healthcare Administrator,Healthcare,False,51.0,83.5,15.7,28.0,3.3,9.9,72.8,3.8,12.3,661
Health Informatics Specialist,Healthcare,False,51.0,88.2,20.1,46.7,6.7,8.7,33.3,6.7,26.6,15
Pharmacist,Healthcare,False,50.4,60.9,8.6,7.7,0.5,-2.0,88.1,1.1,-0.9,378
Financial Planner,Finance,True,49.2,91.0,22.6,22.7,10.5,13.0,61.8,1.7,0.1,476
Biomedical Engineer,Healthcare,False,47.2,71.3,11.2,30.3,4.2,5.3,51.5,6.7,19.1,165
Clinical Research Coordinator,Healthcare,False,46.0,78.6,12.4,6.5,0.4,7.1,55.6,8.8,-5.9,261
Registered Nurse,Healthcare,False,45.0,65.4,7.2,2.5,0.4,6.0,88.0,0.4,-4.7,1137
Physical Therapist,Healthcare,False,42.9,54.8,5.3,6.8,0.0,5.5,94.4,1.7,1.5,993
Radiologic Technologist,Healthcare,False,42.4,48.2,4.1,15.1,0.0,5.0,98.3,0.7,11.0,598
